測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_NAMR_FB_33A0006,"2022-04-01 00:00:00",12,6.4,45,1015.6,24.4,26.7,0.55,6.5,123,10,,,,,,
Vector_NAMR_FB_33A0006,"2022-04-01 01:00:00",13.4,9.1,30,1015.8,23.7,26.7,0.54,7,123,7.6,0.11,"{""1"":0.11,""2"":0.09,""3"":0.1,""4"":0.1,""5"":0.07,""6"":0.07,""7"":0.07,""8"":0.07,""9"":0.07,""10"":0.07,""11"":0.09,""12"":0.07,""16"":0.03,""17"":0.03,""18"":0.03}",269,"{""1"":""269"",""2"":""278"",""3"":""276"",""4"":""272"",""5"":""275"",""6"":""259"",""7"":""242"",""8"":""216"",""9"":""222"",""10"":""207"",""11"":""187"",""12"":""172"",""16"":""304"",""17"":""276"",""18"":""258""}",,
Vector_NAMR_FB_33A0006,"2022-04-01 02:00:00",15.2,10.7,29,1015.6,23,26.7,0.45,6.7,123,6.9,0.23,"{""1"":0.23,""2"":0.2,""3"":0.18,""4"":0.18,""5"":0.18,""6"":0.17,""7"":0.15,""8"":0.15,""9"":0.15,""10"":0.17,""11"":0.18,""12"":0.18,""14"":0.07,""16"":0.11,""17"":0.11,""18"":0.14,""19"":0.15}",239,"{""1"":""239"",""2"":""238"",""3"":""244"",""4"":""238"",""5"":""243"",""6"":""245"",""7"":""236"",""8"":""228"",""9"":""228"",""10"":""228"",""11"":""220"",""12"":""206"",""14"":""217"",""16"":""257"",""17"":""235"",""18"":""231"",""19"":""263""}",,
Vector_NAMR_FB_33A0006,"2022-04-01 03:00:00",15.6,10.3,33,1015,22.8,26.7,0.45,6.2,123,6.1,0.2,"{""1"":0.2,""2"":0.15,""3"":0.15,""4"":0.15,""5"":0.15,""6"":0.15,""7"":0.15,""8"":0.1,""9"":0.09,""10"":0.09,""11"":0.09,""12"":0.09,""14"":0.05,""16"":0.05,""17"":0.03,""18"":0.03,""19"":0.09}",255,"{""1"":""255"",""2"":""271"",""3"":""268"",""4"":""263"",""5"":""262"",""6"":""261"",""7"":""262"",""8"":""261"",""9"":""248"",""10"":""232"",""11"":""222"",""12"":""205"",""14"":""29"",""16"":""346"",""17"":""323"",""18"":""267"",""19"":""261""}",,
Vector_NAMR_FB_33A0006,"2022-04-01 04:00:00",20.5,13.1,40,1013.6,22.7,26.7,0.37,5.7,135,5.8,0.05,"{""1"":0.05,""2"":0.09,""3"":0.18,""4"":0.14,""5"":0.1,""6"":0.1,""7"":0.12,""8"":0.14,""9"":0.15,""10"":0.15,""11"":0.1,""12"":0.09,""14"":0.12,""15"":0.1,""16"":0.07,""17"":0.03,""18"":0.05,""19"":0.1,""20"":0.05}",239,"{""1"":""239"",""2"":""217"",""3"":""226"",""4"":""215"",""5"":""202"",""6"":""194"",""7"":""192"",""8"":""182"",""9"":""182"",""10"":""183"",""11"":""192"",""12"":""256"",""14"":""203"",""15"":""284"",""16"":""2"",""17"":""161"",""18"":""213"",""19"":""228"",""20"":""300""}",,
Vector_NAMR_FB_33A0006,"2022-04-01 05:00:00",22.1,15.9,42,1014.2,22.6,26.7,0.39,4,22,2.5,0.1,"{""1"":0.1,""2"":0.15,""3"":0.15,""4"":0.15,""5"":0.14,""6"":0.14,""7"":0.1,""8"":0.11,""9"":0.12,""10"":0.1,""11"":0.05,""12"":0.05,""14"":0.07,""15"":0.14,""16"":0.15,""17"":0.15,""18"":0.1,""19"":0.1,""20"":0.1,""21"":0.07}",283,"{""1"":""283"",""2"":""272"",""3"":""279"",""4"":""286"",""5"":""301"",""6"":""310"",""7"":""317"",""8"":""325"",""9"":""332"",""10"":""340"",""11"":""6"",""12"":""68"",""14"":""302"",""15"":""46"",""16"":""325"",""17"":""359"",""18"":""353"",""19"":""344"",""20"":""334"",""21"":""303""}",,
Vector_NAMR_FB_33A0006,"2022-04-01 06:00:00",21.1,15.4,40,1014.9,22.9,26.5,0.4,3.4,22,2.5,0.25,"{""1"":0.25,""2"":0.31,""3"":0.4,""4"":0.36,""5"":0.3,""6"":0.27,""7"":0.27,""8"":0.25,""9"":0.25,""10"":0.28,""11"":0.27,""12"":0.21,""14"":0.31,""15"":0.25,""16"":0.18,""17"":0.28,""18"":0.23,""19"":0.27,""20"":0.18}",218,"{""1"":""218"",""2"":""222"",""3"":""226"",""4"":""229"",""5"":""230"",""6"":""232"",""7"":""238"",""8"":""242"",""9"":""244"",""10"":""244"",""11"":""240"",""12"":""226"",""14"":""216"",""15"":""219"",""16"":""247"",""17"":""232"",""18"":""226"",""19"":""233"",""20"":""243""}",,
Vector_NAMR_FB_33A0006,"2022-04-01 07:00:00",20.3,15.3,41,1015,22.2,26.4,0.58,3.8,67,2.6,0.25,"{""1"":0.25,""2"":0.2,""3"":0.2,""4"":0.18,""5"":0.15,""6"":0.15,""7"":0.15,""8"":0.12,""9"":0.11,""10"":0.1,""11"":0.01,""12"":0.02,""13"":0.07,""14"":0.1,""15"":0.1,""16"":0.07,""17"":0.09,""18"":0.15,""19"":0.11,""20"":0.07}",260,"{""1"":""260"",""2"":""267"",""3"":""258"",""4"":""262"",""5"":""259"",""6"":""265"",""7"":""263"",""8"":""266"",""9"":""268"",""10"":""273"",""11"":""246"",""12"":""177"",""13"":""264"",""14"":""268"",""15"":""251"",""16"":""356"",""17"":""236"",""18"":""245"",""19"":""243"",""20"":""258""}",,
