測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_CWB_FB_46714D,"2022-08-01 00:00:00",2.4,1.3,221,1005.2,29.7,30.1,0.37,4,202,4.6,0.162,,197,,,
Vector_CWB_FB_46714D,"2022-08-01 01:00:00",,,,1004.4,29.3,30.5,0.43,4,202,4.6,0.552,,208,,,
Vector_CWB_FB_46714D,"2022-08-01 02:00:00",11,7.8,258,1004.2,26.8,30.6,0.69,4,236,4.3,0.588,,213,,,
Vector_CWB_FB_46714D,"2022-08-01 03:00:00",5.8,4.1,241,1004.6,28,30.2,0.65,3.8,202,4.6,0.326,,210,,,
Vector_CWB_FB_46714D,"2022-08-01 04:00:00",5.3,3.4,279,1005,27.5,30.3,0.58,3.7,236,4.1,0.355,,248,,,
Vector_CWB_FB_46714D,"2022-08-01 05:00:00",7.3,5,215,1005.5,27.2,30.1,0.64,3.7,247,4,0.328,,258,,,
Vector_CWB_FB_46714D,"2022-08-01 06:00:00",6.7,4.5,344,1005.5,27.6,29.9,0.64,4.1,236,4.4,0.183,,283,,,
Vector_CWB_FB_46714D,"2022-08-01 07:00:00",5,3.5,11,1006.5,27.6,30.2,0.65,4.1,247,3.5,0.164,,282,,,
Vector_CWB_FB_46714D,"2022-08-01 08:00:00",5.7,3.7,11,1006.9,27.6,30.2,0.63,4.2,258,3.9,0.281,,302,,,
Vector_CWB_FB_46714D,"2022-08-01 09:00:00",4.9,2.5,313,1007.1,27.3,30.2,0.63,4,247,3.8,0.217,,278,,,
Vector_CWB_FB_46714D,"2022-08-01 10:00:00",,,,1007,27.2,30.5,0.54,4.1,247,4,0.085,,318,,,
Vector_CWB_FB_46714D,"2022-08-01 11:00:00",,,,1007,27.8,30.8,0.54,4,236,4,0.039,,334,,,
Vector_CWB_FB_46714D,"2022-08-01 12:00:00",3,1.6,295,1006.9,28.1,31,0.47,4.1,191,5.2,0.13,,1,,,
Vector_CWB_FB_46714D,"2022-08-01 13:00:00",5,3.7,264,1006.5,28.3,30.9,0.49,4.1,247,4.1,0.068,,5,,,
Vector_CWB_FB_46714D,"2022-08-01 14:00:00",4.7,3.2,286,1005.9,28.4,30.9,0.42,4.2,225,4.4,0.053,,140,,,
Vector_CWB_FB_46714D,"2022-08-01 15:00:00",3,1.1,313,1005,29,31,0.41,4.3,168,4.7,0.083,,89,,,
Vector_CWB_FB_46714D,"2022-08-01 16:00:00",2.5,1.3,271,1004.8,28.8,30.9,0.4,4.4,225,4.2,0.072,,65,,,
Vector_CWB_FB_46714D,"2022-08-01 17:00:00",2.3,1.1,296,1005.2,29.2,30.9,0.5,4.2,236,4.1,0.075,,212,,,
Vector_CWB_FB_46714D,"2022-08-01 18:00:00",,,,1005.4,28.9,31,0.49,4.1,191,4.7,0.143,,227,,,
Vector_CWB_FB_46714D,"2022-08-01 19:00:00",3.8,2.4,52,1006,28.8,30.9,0.5,4,213,4.1,0.186,,240,,,
Vector_CWB_FB_46714D,"2022-08-01 20:00:00",2.5,1.3,74,1006.5,28.4,30.8,0.54,4,225,4.3,0.054,,345,,,
Vector_CWB_FB_46714D,"2022-08-01 21:00:00",2.4,1.2,153,1006.9,28.7,30.7,0.48,4.2,213,4,0.144,,39,,,
Vector_CWB_FB_46714D,"2022-08-01 22:00:00",3.9,2.7,191,1006.7,28.6,30.6,0.44,4.3,180,5.4,0.233,,70,,,
Vector_CWB_FB_46714D,"2022-08-01 23:00:00",7.5,5.7,217,1006.8,29.5,30.4,0.43,4.5,168,5.9,0.372,,84,,,
