測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_CWB_FB_46714D,"2022-03-01 00:00:00",,1.2,23,1015.8,22.7,24.8,0.8,5.4,168,,0.16,,61,,0.31,
Vector_CWB_FB_46714D,"2022-03-01 01:00:00",,1.1,15,1015.6,22.6,24.8,0.7,5.4,168,,0.09,,91,,0.17,
Vector_CWB_FB_46714D,"2022-03-01 02:00:00",,1.7,24,1015.2,22.5,24.9,0.7,5.4,168,,0.12,,59,,0.23,
Vector_CWB_FB_46714D,"2022-03-01 03:00:00",,2.2,27,1015.1,22,24.9,0.7,5.3,168,,0.11,,130,,0.21,
Vector_CWB_FB_46714D,"2022-03-01 04:00:00",,2.2,29,1014.9,21.8,24.9,0.7,5.3,168,,0.18,,68,,0.34,
Vector_CWB_FB_46714D,"2022-03-01 05:00:00",,3.2,50,1015.5,21.8,24.9,0.7,4.9,157,,0.21,,79,,0.4,
Vector_CWB_FB_46714D,"2022-03-01 06:00:00",,2.8,41,1016,21.8,24.9,0.7,5.1,168,,0.17,,60,,0.34,
Vector_CWB_FB_46714D,"2022-03-01 07:00:00",,2.9,33,1016.7,22,25,0.7,5.2,157,,0.31,,82,,0.6,
Vector_CWB_FB_46714D,"2022-03-01 08:00:00",,3.4,41,1017.2,22.4,25,0.7,5.4,157,,0.36,,87,,0.7,
Vector_CWB_FB_46714D,"2022-03-01 09:00:00",,3.7,37,1017.4,22.6,25,0.7,6,157,,0.46,,84,,0.89,
Vector_CWB_FB_46714D,"2022-03-01 10:00:00",,3.7,44,1017.8,23.1,24.9,0.7,5.9,146,,0.67,,87,,1.31,
Vector_CWB_FB_46714D,"2022-03-01 11:00:00",,2.6,44,1017.3,24.1,24.8,0.6,5.6,157,,0.06,,91,,0.12,
Vector_CWB_FB_46714D,"2022-03-01 12:00:00",,,,1016.3,25,25,0.6,5.7,157,,0.24,,275,,0.47,
Vector_CWB_FB_46714D,"2022-03-01 13:00:00",,1.1,172,1015.2,25.1,25.4,0.7,5.7,168,,0.27,,268,,0.53,
Vector_CWB_FB_46714D,"2022-03-01 14:00:00",,2.4,210,1014.1,24.5,25.5,0.7,5.3,180,,0.24,,253,,0.46,
Vector_CWB_FB_46714D,"2022-03-01 15:00:00",,3.4,175,1013.4,24,25.4,0.8,5.7,168,,0.28,,249,,0.54,
Vector_CWB_FB_46714D,"2022-03-01 16:00:00",,2.4,204,1013.4,24.5,25.3,0.8,5.5,157,,0.28,,269,,0.54,
Vector_CWB_FB_46714D,"2022-03-01 17:00:00",,1.7,233,1013.9,24.7,25.1,0.8,5.6,168,,0.26,,261,,0.5,
Vector_CWB_FB_46714D,"2022-03-01 18:00:00",,1.1,258,1014,23.7,24.9,0.8,5.7,168,,0.16,,292,,0.31,
Vector_CWB_FB_46714D,"2022-03-01 19:00:00",,,,1014.6,23.6,24.8,0.8,5.7,168,,0.26,,312,,0.51,
Vector_CWB_FB_46714D,"2022-03-01 20:00:00",,3.5,169,1015.3,23.8,25.1,0.8,6.2,168,,0.4,,329,,0.78,
Vector_CWB_FB_46714D,"2022-03-01 21:00:00",,4,154,1015.8,23.9,25,0.8,5.8,157,,0.36,,338,,0.7,
Vector_CWB_FB_46714D,"2022-03-01 22:00:00",,2.7,167,1016,23.8,25,0.7,5.5,168,,0.3,,344,,0.58,
Vector_CWB_FB_46714D,"2022-03-01 23:00:00",,2.3,158,1016.4,23.5,25.3,0.7,5.7,180,,0.33,,351,,0.64,
