測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_WRA_FB_COMC08,"2024-01-01 00:00:00",,5.6,9,1018.5,,,0.6,4.5,326,,0.04,,117,,0.08,
Vector_WRA_FB_COMC08,"2024-01-01 01:00:00",,5.4,1,1018.4,,,0.6,4.3,326,,0.19,,166,,0.37,
Vector_WRA_FB_COMC08,"2024-01-01 02:00:00",,6.5,12,1017.9,,,0.7,4.4,337,,0.27,,175,,0.52,
Vector_WRA_FB_COMC08,"2024-01-01 03:00:00",,6.5,10,1017.7,,,0.7,4.3,326,,0.31,,180,,0.6,
Vector_WRA_FB_COMC08,"2024-01-01 04:00:00",,7.1,4,1017.7,,,0.7,4.2,315,,0.34,,181,,0.66,
Vector_WRA_FB_COMC08,"2024-01-01 05:00:00",,6.5,9,1017.9,,,0.8,4.2,315,,0.2,,187,,0.39,
Vector_WRA_FB_COMC08,"2024-01-01 06:00:00",,8,8,1018.8,,,0.8,4.1,326,,0.14,,181,,0.27,
Vector_WRA_FB_COMC08,"2024-01-01 07:00:00",,7.4,15,1019.4,,,0.8,4.2,326,,0.01,,82,,0.02,
Vector_WRA_FB_COMC08,"2024-01-01 08:00:00",,5.8,13,1019.9,,,0.8,4.4,315,,0.06,,314,,0.12,
Vector_WRA_FB_COMC08,"2024-01-01 09:00:00",,4.8,6,1020.7,,,0.7,4.3,303,,0.16,,350,,0.31,
Vector_WRA_FB_COMC08,"2024-01-01 10:00:00",,5.5,2,1020.6,,,0.7,4.7,258,,0.22,,340,,0.43,
Vector_WRA_FB_COMC08,"2024-01-01 11:00:00",,4.7,350,1020.3,,,0.7,4.8,258,,0.31,,341,,0.6,
Vector_WRA_FB_COMC08,"2024-01-01 12:00:00",,4.8,355,1019.4,,,0.8,4.9,292,,0.25,,341,,0.49,
Vector_WRA_FB_COMC08,"2024-01-01 13:00:00",,5.4,339,1018.8,,,0.8,4.7,326,,0.17,,329,,0.33,
Vector_WRA_FB_COMC08,"2024-01-01 14:00:00",,5.9,349,1018.5,,,0.9,4.7,326,,0.12,,309,,0.23,
Vector_WRA_FB_COMC08,"2024-01-01 15:00:00",,8,345,1017.9,,,0.9,4.5,326,,0.01,,118,,0.02,
Vector_WRA_FB_COMC08,"2024-01-01 16:00:00",,7.8,349,1018,,,1.2,4.7,326,,0.16,,218,,0.31,
Vector_WRA_FB_COMC08,"2024-01-01 17:00:00",,7.2,353,1018.7,,,1.1,4.4,315,,0.22,,181,,0.43,
Vector_WRA_FB_COMC08,"2024-01-01 18:00:00",,6,359,1019,,,0.8,4.3,326,,0.1,,199,,0.19,
Vector_WRA_FB_COMC08,"2024-01-01 19:00:00",,5.2,8,1019.4,,,0.8,4.4,326,,0.02,,289,,0.04,
Vector_WRA_FB_COMC08,"2024-01-01 20:00:00",,5.7,359,1020.1,,,0.6,4.2,326,,0.13,,340,,0.25,
Vector_WRA_FB_COMC08,"2024-01-01 21:00:00",,5,359,1020.4,,,0.7,4.3,326,,0.2,,345,,0.39,
Vector_WRA_FB_COMC08,"2024-01-01 22:00:00",,3.2,31,1020.7,,,0.6,4.2,236,,0.28,,347,,0.54,
Vector_WRA_FB_COMC08,"2024-01-01 23:00:00",,4.6,22,1019.4,,,0.6,4.7,202,,0.33,,17,,0.64,
Vector_WRA_FB_COMC08,"2024-01-02 00:00:00",,3.4,36,1019.6,,,0.7,5.1,258,,0.21,,10,,0.41,
Vector_WRA_FB_COMC08,"2024-01-02 01:00:00",,3,354,1019.4,,,0.7,4.8,326,,0.2,,8,,0.39,
