測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_NAMR_FB_31A0005,"2022-07-01 00:00:00",8.8,5.2,154,1005.6,27.4,27.5,0.74,5.2,90,7.3,0.007,"{""1"":0.006999999999999999,""2"":0.038299999999999994,""3"":0.0502,""4"":0.0441,""5"":0.049,""6"":0.0751,""7"":0.0996,""8"":0.1338,""9"":0.1611,""10"":0.19390000000000002,""11"":0.1584,""12"":0.0456,""13"":0.0484,""14"":0.0522,""15"":0.032600000000000004,""16"":0.0808,""25"":0.0253,""26"":0.0512,""27"":0.040799999999999996}",106,"{""1"":""106"",""2"":""213"",""3"":""211"",""4"":""193"",""5"":""179"",""6"":""178"",""7"":""211"",""8"":""212"",""9"":""213"",""10"":""228"",""11"":""230"",""12"":""154"",""13"":""198"",""14"":""175"",""15"":""169"",""16"":""131"",""25"":""261"",""26"":""287"",""27"":""306""}",,
Vector_NAMR_FB_31A0005,"2022-07-01 01:00:00",9.1,5.6,151,1005.4,27.5,27.5,0.63,5.5,112,6.7,0.262,"{""1"":0.262,""2"":0.2697,""3"":0.2919,""4"":0.2912,""5"":0.2802,""6"":0.2753,""7"":0.266,""8"":0.202,""9"":0.1722,""10"":0.15830000000000002,""11"":0.1431,""12"":0.0637,""13"":0.061700000000000005,""14"":0.06620000000000001,""15"":0.0626,""16"":0.0528,""25"":0.1003,""26"":0.1153,""27"":0.1331}",52,"{""1"":""52"",""2"":""55"",""3"":""55"",""4"":""50"",""5"":""49"",""6"":""47"",""7"":""39"",""8"":""32"",""9"":""21"",""10"":""10"",""11"":""2"",""12"":""42"",""13"":""40"",""14"":""61"",""15"":""51"",""16"":""65"",""25"":""356"",""26"":""315"",""27"":""300""}",,
Vector_NAMR_FB_31A0005,"2022-07-01 02:00:00",7,4,154,1005.1,27.2,27.4,0.61,5.3,101,7.4,0.281,"{""1"":0.281,""2"":0.287,""3"":0.29710000000000003,""4"":0.3275,""5"":0.32280000000000003,""6"":0.2708,""7"":0.2848,""8"":0.26239999999999997,""9"":0.2062,""10"":0.204,""11"":0.12409999999999999,""12"":0.0461,""13"":0.054,""14"":0.0788,""15"":0.0889,""16"":0.0693,""25"":0.062,""26"":0.0546,""27"":0.0689}",35,"{""1"":""35"",""2"":""29"",""3"":""20"",""4"":""15"",""5"":""11"",""6"":""8"",""7"":""13"",""8"":""14"",""9"":""17"",""10"":""18"",""11"":""23"",""12"":""336"",""14"":""327"",""15"":""343"",""16"":""314"",""25"":""38"",""26"":""334"",""27"":""296""}",,
Vector_NAMR_FB_31A0005,"2022-07-01 03:00:00",9,3.7,148,1004.2,27.2,27.3,0.64,5.8,90,7.6,0.259,"{""1"":0.259,""2"":0.2886,""3"":0.2657,""4"":0.30010000000000003,""5"":0.284,""6"":0.2847,""7"":0.2926,""8"":0.2934,""9"":0.2657,""10"":0.2007,""11"":0.1655,""12"":0.016399999999999998,""13"":0.012,""14"":0.027,""15"":0.0305,""16"":0.0504,""25"":0.0466,""26"":0.0519,""27"":0.0422}",40,"{""1"":""40"",""2"":""38"",""3"":""33"",""4"":""31"",""5"":""34"",""6"":""31"",""7"":""33"",""8"":""27"",""9"":""31"",""10"":""41"",""11"":""44"",""12"":""52"",""13"":""138"",""14"":""358"",""15"":""23"",""16"":""7"",""25"":""15"",""26"":""326"",""27"":""234""}",,
Vector_NAMR_FB_31A0005,"2022-07-01 04:00:00",8.2,4.6,107,1004.8,27.5,27.2,0.57,5.3,67,6.4,0.255,"{""1"":0.255,""2"":0.2524,""3"":0.2559,""4"":0.2291,""5"":0.2057,""6"":0.2425,""7"":0.24130000000000001,""8"":0.24480000000000002,""9"":0.2327,""10"":0.2286,""11"":0.18919999999999998,""12"":0.0348,""13"":0.019100000000000002,""14"":0.0212,""15"":0.028399999999999998,""16"":0.0028,""25"":0.0184,""26"":0.04,""27"":0.176}",20,"{""1"":""20"",""2"":""19"",""3"":""25"",""4"":""31"",""5"":""30"",""6"":""32"",""7"":""38"",""8"":""43"",""9"":""44"",""10"":""42"",""11"":""41"",""12"":""141"",""13"":""84"",""14"":""172"",""15"":""141"",""16"":""45"",""25"":""151"",""26"":""307"",""27"":""234""}",,
Vector_NAMR_FB_31A0005,"2022-07-01 05:00:00",4.7,1.5,142,1004.9,27.3,27.3,0.89,6.1,78,7.7,0.285,"{""1"":0.285,""2"":0.2871,""3"":0.2776,""4"":0.2954,""5"":0.30019999999999997,""6"":0.29519999999999996,""7"":0.2627,""8"":0.284,""9"":0.2401,""10"":0.2666,""11"":0.2186,""12"":0.048799999999999996,""13"":0.0708,""14"":0.0963,""15"":0.07,""16"":0.06459999999999999,""25"":0.0197,""26"":0.0639,""27"":0.327}",23,"{""1"":""23"",""2"":""19"",""3"":""21"",""4"":""24"",""5"":""28"",""6"":""28"",""7"":""35"",""8"":""35"",""9"":""40"",""10"":""37"",""11"":""43"",""12"":""75"",""13"":""67"",""14"":""42"",""15"":""53"",""16"":""55"",""25"":""210"",""26"":""253"",""27"":""234""}",,
Vector_NAMR_FB_31A0005,"2022-07-01 06:00:00",8.3,5.3,134,1005,27.3,27.6,0.93,5.6,67,7.6,0.246,"{""1"":0.24600000000000002,""2"":0.2776,""3"":0.272,""4"":0.2546,""5"":0.2788,""6"":0.2545,""7"":0.24580000000000002,""8"":0.24930000000000002,""9"":0.2647,""10"":0.2321,""11"":0.211,""12"":0.030600000000000002,""13"":0.0313,""14"":0.055600000000000004,""15"":0.060200000000000004,""16"":0.0634,""25"":0.088,""26"":0.0952,""27"":0.1262}",6,"{""1"":""6"",""2"":""4"",""3"":""1"",""4"":""4"",""5"":""4"",""6"":""4"",""7"":""5"",""8"":""11"",""9"":""13"",""10"":""18"",""11"":""22"",""12"":""11"",""13"":""17"",""14"":""352"",""15"":""5"",""16"":""38"",""25"":""69"",""26"":""343"",""27"":""305""}",,
Vector_NAMR_FB_31A0005,"2022-07-01 07:00:00",10,6.1,114,1006.1,27.1,27.6,,,,,0.167,"{""1"":0.16699999999999998,""2"":0.1726,""3"":0.15109999999999998,""4"":0.1446,""5"":0.1384,""6"":0.1665,""7"":0.1736,""8"":0.1636,""9"":0.13369999999999999,""10"":0.1176,""11"":0.106,""12"":0.030100000000000002,""13"":0.01,""14"":0.0394,""15"":0.0269,""16"":0.0575,""25"":0.06409999999999999,""26"":0.1951,""27"":0.2797}",350,"{""1"":""350"",""2"":""355"",""3"":""359"",""4"":""13"",""5"":""23"",""6"":""29"",""7"":""25"",""8"":""23"",""9"":""26"",""10"":""38"",""11"":""32"",""12"":""292"",""13"":""354"",""14"":""24"",""15"":""42"",""16"":""302"",""25"":""266"",""26"":""268"",""27"":""292""}",,
