測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_WRA_FB_WRA007,"2020-09-01 00:00:00",3.6,2.3,318,1002.3,,,1.87,9.1,101,12.4,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 01:00:00",4.5,3.1,329,1001.9,,,1.99,8.8,101,8.3,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 02:00:00",3.4,2.4,349,1001.5,,,1.61,8.5,101,9.6,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 03:00:00",3.8,2.1,329,1001,,,1.85,8.5,112,11.6,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 04:00:00",4.8,3.4,320,1000.4,,,1.45,7.8,112,8.1,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 05:00:00",5.4,4,337,1000.5,,,1.18,7.5,78,11.1,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 06:00:00",6.1,4.3,336,999.8,,,1.09,7.6,112,9.4,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 07:00:00",7.1,5.3,335,1000.4,,,1.14,8,101,10,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 08:00:00",5.7,4.1,2,1000.7,,,1.14,8.9,78,10.8,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 09:00:00",6.3,5.1,60,1001.3,,,1.1,8.7,78,11.3,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 10:00:00",5.6,4.3,47,1001.6,,,1.09,8.5,90,12.8,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 11:00:00",5.9,4.9,54,1001.3,,,1.17,8.5,90,10.6,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 12:00:00",4.3,3.5,66,1000.4,,,1.2,7.8,101,8.9,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 13:00:00",5.9,4.8,67,1000.5,,,1.14,7.3,78,10.8,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 14:00:00",8.1,6.4,59,1000.4,,,1.39,8,90,11.6,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 15:00:00",5.6,4.3,70,1000.4,,,1.36,7.6,78,11.3,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 16:00:00",4.3,3.3,68,1000.3,,,1.13,7.2,67,10.8,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 17:00:00",4.6,3.6,61,1001,,,1.04,7.5,78,11.6,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 18:00:00",3.8,2.9,58,1001.8,,,1.06,7.9,67,9.8,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 19:00:00",2.5,1.9,72,1002.9,,,0.91,7.3,45,11.9,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 20:00:00",1.2,0.5,334,1003.9,,,1.15,8.6,78,11.3,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 21:00:00",2,1.1,285,1004.9,,,0.98,7.7,67,11.6,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 22:00:00",2.2,1.3,242,1005.3,,,0.71,7.2,67,10.6,,,,,,
Vector_WRA_FB_WRA007,"2020-09-01 23:00:00",3.7,2.5,213,1004.7,,,0.75,7.2,146,12.1,,,,,,
Vector_WRA_FB_WRA007,"2020-09-02 00:00:00",3.7,2.9,200,1004.4,,,0.87,7.5,67,11.6,,,,,,
Vector_WRA_FB_WRA007,"2020-09-02 01:00:00",2.5,1.4,308,1004.3,,,0.87,7.8,78,11.9,,,,,,
