測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_WRA_FB_WRA007,"2023-02-01 00:00:00",5,3.7,320,1018,,,1.13,6.5,135,,,,,,,
Vector_WRA_FB_WRA007,"2023-02-01 00:06:00",,,,,,,,,,,0.9799,,63,,,
Vector_WRA_FB_WRA007,"2023-02-01 00:12:00",,,,,,,,,,,1.0144,,59,,,
Vector_WRA_FB_WRA007,"2023-02-01 00:18:00",,,,,,,,,,,1.047,,61,,,
Vector_WRA_FB_WRA007,"2023-02-01 00:24:00",,,,,,,,,,,1.0297,,60,,,
Vector_WRA_FB_WRA007,"2023-02-01 00:30:00",,,,,,,,,,,1.0332,,63,,,
Vector_WRA_FB_WRA007,"2023-02-01 00:36:00",,,,,,,,,,,0.9978,,62,,,
Vector_WRA_FB_WRA007,"2023-02-01 00:42:00",,,,,,,,,,,1.0352,,62,,,
Vector_WRA_FB_WRA007,"2023-02-01 00:48:00",,,,,,,,,,,1.0501,,64,,,
Vector_WRA_FB_WRA007,"2023-02-01 00:54:00",,,,,,,,,,,0.9892,,64,,,
Vector_WRA_FB_WRA007,"2023-02-01 01:00:00",6.3,4.9,327,1017.2,,,1.07,6.6,112,,,,,,,
Vector_WRA_FB_WRA007,"2023-02-01 01:06:00",,,,,,,,,,,1.025,,64,,,
Vector_WRA_FB_WRA007,"2023-02-01 01:12:00",,,,,,,,,,,1.0475,,63,,,
Vector_WRA_FB_WRA007,"2023-02-01 01:18:00",,,,,,,,,,,1.0412,,62,,,
Vector_WRA_FB_WRA007,"2023-02-01 01:24:00",,,,,,,,,,,1.0523,,63,,,
Vector_WRA_FB_WRA007,"2023-02-01 01:30:00",,,,,,,,,,,0.9713,,63,,,
Vector_WRA_FB_WRA007,"2023-02-01 01:36:00",,,,,,,,,,,1.0257,,65,,,
Vector_WRA_FB_WRA007,"2023-02-01 01:42:00",,,,,,,,,,,1.0335,,65,,,
Vector_WRA_FB_WRA007,"2023-02-01 01:48:00",,,,,,,,,,,1.0217,,66,,,
Vector_WRA_FB_WRA007,"2023-02-01 01:54:00",,,,,,,,,,,1.0015,,65,,,
Vector_WRA_FB_WRA007,"2023-02-01 02:00:00",5.7,4.6,327,1016.4,,,1.09,7,135,,,,,,,
Vector_WRA_FB_WRA007,"2023-02-01 02:06:00",,,,,,,,,,,1.0034,,65,,,
Vector_WRA_FB_WRA007,"2023-02-01 02:12:00",,,,,,,,,,,0.9855,,66,,,
Vector_WRA_FB_WRA007,"2023-02-01 02:18:00",,,,,,,,,,,0.9752,,66,,,
Vector_WRA_FB_WRA007,"2023-02-01 02:24:00",,,,,,,,,,,0.9823,,66,,,
Vector_WRA_FB_WRA007,"2023-02-01 02:30:00",,,,,,,,,,,0.9477,,66,,,
Vector_WRA_FB_WRA007,"2023-02-01 02:36:00",,,,,,,,,,,0.9473,,67,,,
Vector_WRA_FB_WRA007,"2023-02-01 02:42:00",,,,,,,,,,,0.9635,,66,,,
Vector_WRA_FB_WRA007,"2023-02-01 02:48:00",,,,,,,,,,,0.9148,,67,,,
Vector_WRA_FB_WRA007,"2023-02-01 02:54:00",,,,,,,,,,,0.9512,,68,,,
Vector_WRA_FB_WRA007,"2023-02-01 03:00:00",6.6,5.5,322,1015.9,,,0.86,6.4,146,,,,,,,
Vector_WRA_FB_WRA007,"2023-02-01 03:06:00",,,,,,,,,,,1.0125,,66,,,
Vector_WRA_FB_WRA007,"2023-02-01 03:12:00",,,,,,,,,,,0.9248,,68,,,
