測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_WRA_FB_WRA007,"2018-07-01 00:00:00",2.2,1.5,16,1004.8,,,0.75,6.9,123,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 01:00:00",2.5,1.7,320,1004.1,,,0.72,6.9,112,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 02:00:00",2.6,1.7,318,1003.6,,,0.69,7.1,112,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 03:00:00",3.6,2.1,312,1003,,,0.66,7.1,123,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 04:00:00",3,2.1,328,1002.4,,,0.82,7.6,123,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 05:00:00",3,2.1,347,1002.3,,,0.66,7.5,123,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 06:00:00",2.4,1.6,345,1002.5,,,0.62,7.1,112,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 07:00:00",3,2.4,34,1002.8,,,0.67,6.9,123,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 08:00:00",4.7,3.7,74,1003,,,0.7,7.6,101,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 09:00:00",3.1,2.2,109,1003.5,,,0.89,8.5,101,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 10:00:00",2.8,1.9,110,1003.6,,,0.9,8.4,112,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 11:00:00",3.5,2.6,130,1003.3,,,1.1,8.5,112,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 12:00:00",3.8,2.8,143,1002.8,,,1.11,9.3,112,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 13:00:00",3.1,2.2,139,1002.5,,,1.33,9.7,101,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 14:00:00",2.1,1.5,211,1002.6,,,1.2,9.1,101,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 15:00:00",1.7,0.7,155,1002.6,,,0.93,8,123,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 16:00:00",1.3,0.3,223,1002,,,0.98,8.4,101,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 17:00:00",2,0.8,233,1002,,,0.99,8.3,112,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 18:00:00",1.6,0.6,271,1002.4,,,1.11,7.9,123,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 19:00:00",1.4,0.5,265,1002.4,,,1.04,8.9,123,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 20:00:00",1.2,0.5,37,1003.2,,,1.24,9,123,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 21:00:00",3.1,2,328,1003.1,,,1.09,9,112,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 22:00:00",3.1,1.7,281,1003,,,1.19,8.6,112,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-01 23:00:00",2.5,1.2,246,1002,,,1.41,8.6,90,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-02 00:00:00",2.9,1.7,299,1002,,,1.22,8.4,101,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-02 01:00:00",5.4,4.3,340,1001,,,1.2,8,78,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-02 02:00:00",5.1,3.9,20,1000.9,,,1.02,7.8,112,,,,,,,
Vector_WRA_FB_WRA007,"2018-07-02 03:00:00",4.5,3.2,350,1000.6,,,0.87,7.4,78,,,,,,,
