測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_WRA_FB_46706A,"2007-12-01 00:00:00",5.2,3.6,279,1023.1,17.9,21.2,2.32,8.8,33,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 01:00:00",4.4,2.7,288,1023,17.9,22,2.43,8.8,45,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 02:00:00",4.3,3,280,1023.1,17.5,21.8,1.87,7.8,90,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 03:00:00",5.8,4.3,284,1022.8,17.3,22.2,1.71,7.5,258,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 04:00:00",5,3.3,271,1022.8,17.8,22.1,2.19,8.4,56,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 05:00:00",5.2,3.8,286,1023.1,17.8,22.2,2.21,8.7,45,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 06:00:00",4.4,3.2,282,1023.4,17.9,22.1,1.79,7.8,11,10.4,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 07:00:00",4.2,3.2,296,1023.8,17.5,22,1.58,7.5,78,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 08:00:00",3.4,2.4,287,1024.5,17.9,22,1.75,7.9,33,10.4,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 09:00:00",2.5,1.8,294,1024.3,18.7,21.9,1.72,8,33,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 10:00:00",1,0.3,22,1023.6,19.8,22,1.87,8.1,78,10.4,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 11:00:00",6.8,5,136,1022.4,21.4,21.9,1.86,7.7,67,10.4,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 12:00:00",6.9,4.6,149,1021.6,21.8,22,1.76,6.9,56,13.1,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 13:00:00",6.9,5.5,127,1020.7,22,22.1,1.9,7.5,67,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 14:00:00",7,5.2,80,1020.4,22,22.2,1.84,7.2,22,10.4,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 15:00:00",4.9,3.8,162,1020.6,22.1,22.3,1.36,6.5,33,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 16:00:00",5.9,3.7,85,1020.7,21.9,22.3,1.63,7.3,112,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 17:00:00",5.5,4.3,63,1021,22.1,22.2,1.29,6.4,303,10.4,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 18:00:00",4.9,3.5,200,1021.3,21.5,21.8,1.41,6.2,56,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 19:00:00",5.3,3.2,121,1021.5,21.6,21.9,1.43,6.1,11,10.4,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 20:00:00",5.1,3.5,170,1022,21.3,22.2,1.39,6.2,45,13.1,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 21:00:00",3,2,209,1022.3,21.1,22,1.46,6.2,78,13.1,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 22:00:00",5.9,4.5,170,1022.3,21.2,22.5,1.15,5.8,101,11.6,,,,,,
Vector_WRA_FB_46706A,"2007-12-01 23:00:00",6.1,4.7,161,1021.8,21.1,22.8,1.32,6.7,56,9.5,,,,,,
