測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_WRA_FB_46706A,"2023-07-01 00:00:00",,3.6,207,1007.1,,,0.9,5.3,123,,0.31,,159,,0.6,
Vector_WRA_FB_46706A,"2023-07-01 01:00:00",,2.2,278,1006.2,,,0.9,5.3,112,,0.16,,170,,0.31,
Vector_WRA_FB_46706A,"2023-07-01 02:00:00",,1.8,233,1006.6,,,0.8,5.1,123,,0.05,,241,,0.1,
Vector_WRA_FB_46706A,"2023-07-01 03:00:00",,1.2,301,1006.7,,,0.9,5,112,,0.15,,291,,0.29,
Vector_WRA_FB_46706A,"2023-07-01 04:00:00",,,,1006.7,,,0.8,4.9,112,,0.21,,311,,0.41,
Vector_WRA_FB_46706A,"2023-07-01 05:00:00",,1.7,253,1007.1,,,0.8,4.9,123,,0.16,,342,,0.31,
Vector_WRA_FB_46706A,"2023-07-01 06:00:00",,1.1,13,1007.3,,,1,4.9,112,,0.2,,347,,0.39,
Vector_WRA_FB_46706A,"2023-07-01 07:00:00",,,,1008.1,,,0.9,4.8,112,,0.13,,317,,0.25,
Vector_WRA_FB_46706A,"2023-07-01 08:00:00",,1.2,41,1008.4,,,0.9,4.9,112,,0.03,,233,,0.06,
Vector_WRA_FB_46706A,"2023-07-01 09:00:00",,1.6,43,1009,,,1.1,5,112,,0.08,,135,,0.16,
Vector_WRA_FB_46706A,"2023-07-01 10:00:00",,3,159,1009.2,,,0.9,5.2,112,,0.28,,154,,0.54,
Vector_WRA_FB_46706A,"2023-07-01 11:00:00",,8.2,163,1009,,,0.8,5.1,112,,0.43,,138,,0.84,
Vector_WRA_FB_46706A,"2023-07-01 12:00:00",,9,166,1008.6,,,0.9,5.2,101,,0.47,,155,,0.91,
Vector_WRA_FB_46706A,"2023-07-01 13:00:00",,8.3,161,1008.6,,,0.9,5.3,112,,0.3,,158,,0.58,
Vector_WRA_FB_46706A,"2023-07-01 14:00:00",,9.2,158,1008.5,,,0.8,5,101,,0.16,,166,,0.31,
Vector_WRA_FB_46706A,"2023-07-01 15:00:00",,10.4,162,1008.3,,,0.9,5.2,101,,0.06,,270,,0.12,
Vector_WRA_FB_46706A,"2023-07-01 16:00:00",,10,177,1008.3,,,0.8,5,101,,0.1,,337,,0.19,
Vector_WRA_FB_46706A,"2023-07-01 17:00:00",,7.3,178,1008.3,,,0.8,5,112,,0.08,,356,,0.16,
Vector_WRA_FB_46706A,"2023-07-01 18:00:00",,3.9,192,1008.6,,,0.7,4.9,123,,0.03,,343,,0.06,
Vector_WRA_FB_46706A,"2023-07-01 19:00:00",,6.4,171,1009.1,,,0.8,4.8,112,,0.04,,193,,0.08,
Vector_WRA_FB_46706A,"2023-07-01 20:00:00",,7,166,1009,,,0.7,5,112,,0.1,,154,,0.19,
Vector_WRA_FB_46706A,"2023-07-01 21:00:00",,7.7,167,1009.6,,,0.7,5,112,,0.26,,137,,0.51,
Vector_WRA_FB_46706A,"2023-07-01 22:00:00",,8.6,181,1009.7,,,0.7,5.2,123,,0.51,,146,,0.99,
Vector_WRA_FB_46706A,"2023-07-01 23:00:00",,6.8,184,1009.8,,,0.8,5.1,112,,0.55,,146,,1.07,
Vector_WRA_FB_46706A,"2023-07-02 00:00:00",,2.4,231,1010.1,,,0.8,5.2,123,,0.45,,151,,0.87,
Vector_WRA_FB_46706A,"2023-07-02 01:00:00",,1.9,304,1009.7,,,0.9,5.3,123,,0.25,,148,,0.49,
