測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_WRA_FB_46759A,"2011-08-01 00:00:00",6.5,5.1,43,1005.2,29.1,29.8,1.39,7.7,101,9.5,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 01:00:00",4,2.6,330,1004.9,28.6,29.7,1.06,7.4,101,10.4,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 02:00:00",3.3,2.4,336,1004.8,28.2,28.7,1.21,8,112,9.5,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 03:00:00",2.9,2.2,17,1004.1,27.8,26.6,1.24,7.5,112,9.5,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 04:00:00",4,2.8,29,1004.1,27.6,26.5,1.05,7.8,180,10.4,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 05:00:00",4.9,3.6,26,1003.9,28,27.7,1.02,7.2,157,11.6,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 06:00:00",3.9,2.9,43,1004.2,28,28.5,1.45,7.3,90,8.7,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 07:00:00",6.7,5,45,1004.1,28.7,28.2,1.61,7.9,146,10.4,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 08:00:00",6.4,4.8,42,1004.4,29.2,29.2,1.45,7.9,112,10.4,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 09:00:00",5.2,4,57,1004.9,29.4,29.8,1.36,7.9,101,9.5,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 10:00:00",5.8,4.4,65,1005,29.5,30,1.65,8.1,101,11.6,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 11:00:00",7.8,5.4,51,1005.2,29.6,30.1,1.87,8.7,112,10.4,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 12:00:00",7.9,5.6,46,1004.9,29.5,28.2,1.35,8.3,123,10.4,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 13:00:00",8.9,6,71,1004.8,29.8,29.4,1.22,8.1,157,9.5,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 14:00:00",7,5.4,74,1004.6,29.9,29.9,1.29,8.7,146,11.6,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 15:00:00",7.5,5.8,77,1004.1,29.7,29.5,1.38,8.8,123,9.5,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 16:00:00",7.3,5.4,61,1003.4,29.3,28.1,1.19,8.2,112,13.1,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 17:00:00",7.6,5.6,63,1003.2,29.5,28,0.93,7.7,135,10.4,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 18:00:00",6.8,5.4,43,1004.2,29.1,27.4,0.78,7.4,180,10.4,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 19:00:00",6.2,4.9,50,1004.4,28.9,27.2,1.03,8.4,157,13.1,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 20:00:00",8,6.3,55,1005.1,29.4,29.4,1.1,8.1,78,13.1,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 21:00:00",6.2,4.9,40,1005.5,29.3,30,1.32,8.4,191,10.4,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 22:00:00",4.8,3.3,37,1006.4,29.2,29.9,1.47,8.2,123,11.6,,,,,,
Vector_WRA_FB_46759A,"2011-08-01 23:00:00",3.2,1.8,354,1006.5,28.2,29.8,1.47,7.9,101,10.4,,,,,,
