測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_WRA_FB_46759A,"2022-04-01 00:00:00",,11,42,1015.2,,,0.7,6,135,,0.6,,103,,1.16,
Vector_WRA_FB_46759A,"2022-04-01 01:00:00",,12.6,42,1015.3,,,0.7,5,146,,0.62,,108,,1.21,
Vector_WRA_FB_46759A,"2022-04-01 02:00:00",,13.4,38,1014.8,,,0.7,4.8,135,,0.48,,119,,0.94,
Vector_WRA_FB_46759A,"2022-04-01 03:00:00",,14.1,32,1014.7,,,0.8,4.9,135,,0.43,,131,,0.84,
Vector_WRA_FB_46759A,"2022-04-01 04:00:00",,17.1,41,1014.2,,,0.8,3.8,45,,0.17,,167,,0.34,
Vector_WRA_FB_46759A,"2022-04-01 05:00:00",,17.5,41,1015,,,0.7,3.4,33,,0.25,,231,,0.49,
Vector_WRA_FB_46759A,"2022-04-01 06:00:00",,17.1,40,1016,,,0.7,3.3,33,,0.31,,255,,0.6,
Vector_WRA_FB_46759A,"2022-04-01 07:00:00",,17.2,39,1016.8,,,0.7,3.5,22,,0.53,,289,,1.02,
Vector_WRA_FB_46759A,"2022-04-01 08:00:00",,17,42,1017.5,,,0.8,3.8,33,,0.29,,297,,0.57,
Vector_WRA_FB_46759A,"2022-04-01 09:00:00",,17.2,41,1017.6,,,0.8,3.3,56,,0.23,,305,,0.44,
Vector_WRA_FB_46759A,"2022-04-01 10:00:00",,18.1,42,1017,,,0.9,3.5,45,,0.22,,209,,0.44,
Vector_WRA_FB_46759A,"2022-04-01 11:00:00",,17.9,41,1017,,,1.1,4,33,,0.33,,202,,0.63,
Vector_WRA_FB_46759A,"2022-04-01 12:00:00",,17.5,41,1016.8,,,0.9,3.4,45,,0.38,,182,,0.73,
Vector_WRA_FB_46759A,"2022-04-01 13:00:00",,16.5,41,1016.1,,,0.8,3.7,56,,0.38,,128,,0.75,
Vector_WRA_FB_46759A,"2022-04-01 14:00:00",,16.2,43,1015.9,,,0.9,3.7,33,,0.12,,95,,0.23,
Vector_WRA_FB_46759A,"2022-04-01 15:00:00",,16.3,40,1015.4,,,0.8,3.8,45,,0.09,,61,,0.17,
Vector_WRA_FB_46759A,"2022-04-01 16:00:00",,16.3,43,1015.5,,,0.8,3.6,45,,0.09,,345,,0.18,
Vector_WRA_FB_46759A,"2022-04-01 17:00:00",,16.8,43,1016.2,,,0.9,3.8,45,,0.25,,303,,0.48,
Vector_WRA_FB_46759A,"2022-04-01 18:00:00",,15.3,38,1016.5,,,0.8,3.6,33,,0.29,,293,,0.57,
Vector_WRA_FB_46759A,"2022-04-01 19:00:00",,16.7,40,1016.8,,,0.8,3.6,33,,0.43,,296,,0.83,
Vector_WRA_FB_46759A,"2022-04-01 20:00:00",,16.1,35,1017.6,,,0.8,4.3,146,,0.64,,300,,1.25,
Vector_WRA_FB_46759A,"2022-04-01 21:00:00",,16.4,38,1018.5,,,1,4.1,33,,0.36,,315,,0.69,
Vector_WRA_FB_46759A,"2022-04-01 22:00:00",,15.7,44,1018.8,,,0.8,4.3,157,,0.18,,336,,0.35,
Vector_WRA_FB_46759A,"2022-04-01 23:00:00",,15.3,46,1018.5,,,0.8,4,67,,0.09,,62,,0.17,
Vector_WRA_FB_46759A,"2022-04-02 00:00:00",,14.5,45,1018.3,,,0.9,4.8,157,,0.19,,94,,0.38,
Vector_WRA_FB_46759A,"2022-04-02 01:00:00",,14.6,41,1017.6,,,0.9,4.9,112,,0.25,,102,,0.49,
