測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_CWB_FB_46694A,"2018-06-01 00:00:00",9.2,5.7,7,1010.9,24.9,26.7,0.63,3.6,45,4,0.126,,224,,,
Vector_CWB_FB_46694A,"2018-06-01 00:06:00",,,,,,,,,,,0.099,,183,,,
Vector_CWB_FB_46694A,"2018-06-01 00:12:00",,,,,,,,,,,0.208,,223,,,
Vector_CWB_FB_46694A,"2018-06-01 00:18:00",,,,,,,,,,,0.217,,234,,,
Vector_CWB_FB_46694A,"2018-06-01 00:24:00",,,,,,,,,,,0.123,,221,,,
Vector_CWB_FB_46694A,"2018-06-01 00:30:00",,,,,,,,,,,0.166,,222,,,
Vector_CWB_FB_46694A,"2018-06-01 00:36:00",,,,,,,,,,,0.2,,226,,,
Vector_CWB_FB_46694A,"2018-06-01 00:42:00",,,,,,,,,,,0.173,,211,,,
Vector_CWB_FB_46694A,"2018-06-01 00:48:00",,,,,,,,,,,0.13,,217,,,
Vector_CWB_FB_46694A,"2018-06-01 00:54:00",,,,,,,,,,,0.11,,219,,,
Vector_CWB_FB_46694A,"2018-06-01 01:00:00",6.2,2.3,347,1010,24.7,26.7,0.52,4.1,45,4.5,0.14,,245,,,
Vector_CWB_FB_46694A,"2018-06-01 01:06:00",,,,,,,,,,,0.187,,257,,,
Vector_CWB_FB_46694A,"2018-06-01 01:12:00",,,,,,,,,,,0.08,,235,,,
Vector_CWB_FB_46694A,"2018-06-01 01:18:00",,,,,,,,,,,0.042,,239,,,
Vector_CWB_FB_46694A,"2018-06-01 01:24:00",,,,,,,,,,,0.09,,243,,,
Vector_CWB_FB_46694A,"2018-06-01 01:30:00",,,,,,,,,,,0.062,,235,,,
Vector_CWB_FB_46694A,"2018-06-01 01:36:00",,,,,,,,,,,0.074,,88,,,
Vector_CWB_FB_46694A,"2018-06-01 01:42:00",,,,,,,,,,,0.082,,209,,,
Vector_CWB_FB_46694A,"2018-06-01 01:48:00",,,,,,,,,,,0.18,,243,,,
Vector_CWB_FB_46694A,"2018-06-01 01:54:00",,,,,,,,,,,0.095,,255,,,
Vector_CWB_FB_46694A,"2018-06-01 02:00:00",6.4,4,348,1010.1,24.4,26.6,0.9,4.9,56,5.8,0.09,,280,,,
Vector_CWB_FB_46694A,"2018-06-01 02:06:00",,,,,,,,,,,0.072,,290,,,
Vector_CWB_FB_46694A,"2018-06-01 02:12:00",,,,,,,,,,,0.085,,272,,,
Vector_CWB_FB_46694A,"2018-06-01 02:18:00",,,,,,,,,,,0.066,,338,,,
Vector_CWB_FB_46694A,"2018-06-01 02:24:00",,,,,,,,,,,0.06,,318,,,
Vector_CWB_FB_46694A,"2018-06-01 02:30:00",,,,,,,,,,,0.044,,198,,,
Vector_CWB_FB_46694A,"2018-06-01 02:36:00",,,,,,,,,,,0.094,,234,,,
Vector_CWB_FB_46694A,"2018-06-01 02:42:00",,,,,,,,,,,0.233,,252,,,
Vector_CWB_FB_46694A,"2018-06-01 02:48:00",,,,,,,,,,,0.267,,257,,,
Vector_CWB_FB_46694A,"2018-06-01 02:54:00",,,,,,,,,,,0.226,,266,,,
Vector_CWB_FB_46694A,"2018-06-01 03:00:00",8.1,5.2,6,1010.3,24,27.5,1.41,5.9,45,7.8,0.118,,310,,,
Vector_CWB_FB_46694A,"2018-06-01 03:06:00",,,,,,,,,,,0.186,,313,,,
Vector_CWB_FB_46694A,"2018-06-01 03:12:00",,,,,,,,,,,0.137,,316,,,
