測站編號,時間,陣風_風速,風速,風向,氣壓,氣溫,海面溫度,示性波高,平均週期,波向,波浪尖峰週期,流速,分層流速{深度:流速},流向,分層流向{深度:流向},流速(節),潮高
StationID,time,Wind_Gust_Speed,Wind_Speed,Wind_Direction,Air_Pressure,Air_Temperature,Sea_Temperature,Wave_Height_Significant,Wave_Mean_Period,Wave_Main_Direction,Wave_Peak_Period,Current_Speed,Current_Speed_Layer,Current_Direction,Current_Direction_Layer,Current_Speed_knot,Tide_Height
,UTC+8,m/s,m/s,degree,hPa,C,C,m,sec,degree,sec,m/s,m/s,degree,degree,knot,m
Vector_CWB_FB_46694A,"2023-05-01 00:00:00",,3.3,356,1015.6,19.6,22.9,1.2,6,78,,0.28,,358,,0.54,
Vector_CWB_FB_46694A,"2023-05-01 01:00:00",,3.9,7,1014.9,19.5,22.8,1.1,5.5,67,,0.43,,14,,0.84,
Vector_CWB_FB_46694A,"2023-05-01 02:00:00",,2.2,357,1014.7,19.4,22.8,1.3,5.8,67,,0.36,,2,,0.7,
Vector_CWB_FB_46694A,"2023-05-01 03:00:00",,2.4,335,1014.5,19.4,22.9,1.1,5.4,78,,0.39,,351,,0.76,
Vector_CWB_FB_46694A,"2023-05-01 04:00:00",,2.5,338,1014.4,19.5,22.9,1,5.4,90,,0.34,,1,,0.66,
Vector_CWB_FB_46694A,"2023-05-01 05:00:00",,3,341,1014.5,19.6,22.9,0.9,5.5,90,,0.23,,349,,0.45,
Vector_CWB_FB_46694A,"2023-05-01 06:00:00",,4.1,28,1015.2,20.8,22.9,0.9,5.2,78,,0.04,,209,,0.08,
Vector_CWB_FB_46694A,"2023-05-01 07:00:00",,4.2,36,1016.2,21,22.9,0.9,5,67,,0.02,,258,,0.04,
Vector_CWB_FB_46694A,"2023-05-01 08:00:00",,4.5,38,1016.7,21.3,22.9,0.8,4.6,56,,0.15,,199,,0.29,
Vector_CWB_FB_46694A,"2023-05-01 09:00:00",,5,31,1016.9,21.5,22.9,0.7,4.3,67,,0.33,,212,,0.64,
Vector_CWB_FB_46694A,"2023-05-01 10:00:00",,4.8,35,1017.4,21.8,22.9,0.7,5.1,78,,0.29,,213,,0.56,
Vector_CWB_FB_46694A,"2023-05-01 11:00:00",,4.4,37,1017.4,21.7,23,0.8,5.5,90,,0.13,,228,,0.25,
Vector_CWB_FB_46694A,"2023-05-01 12:00:00",,4.7,33,1017.4,21.6,23.2,0.8,5.2,90,,0.14,,263,,0.27,
Vector_CWB_FB_46694A,"2023-05-01 13:00:00",,4.5,38,1017.1,21.4,23.2,1,5.1,78,,0.13,,348,,0.25,
Vector_CWB_FB_46694A,"2023-05-01 14:00:00",,4.5,34,1016.8,21.5,23.1,1.1,5.3,78,,0.19,,360,,0.37,
Vector_CWB_FB_46694A,"2023-05-01 15:00:00",,4.3,69,1016.4,21.9,23.1,1.1,5.2,78,,0.31,,12,,0.6,
Vector_CWB_FB_46694A,"2023-05-01 16:00:00",,3.6,73,1016.4,21.9,23.1,1.2,5.3,90,,0.23,,11,,0.45,
Vector_CWB_FB_46694A,"2023-05-01 17:00:00",,4,84,1016.2,21.9,23.1,1.2,5.4,101,,0.19,,357,,0.37,
Vector_CWB_FB_46694A,"2023-05-01 18:00:00",,4.1,89,1016.6,22,23.1,1.4,5.4,78,,0.09,,36,,0.17,
Vector_CWB_FB_46694A,"2023-05-01 19:00:00",,3.9,90,1016.8,22.1,23.1,1.3,5.5,56,,0.04,,151,,0.08,
Vector_CWB_FB_46694A,"2023-05-01 20:00:00",,3.2,109,1017.2,22.4,23.1,1,5.4,56,,0.23,,197,,0.45,
Vector_CWB_FB_46694A,"2023-05-01 21:00:00",,2.6,230,1017.5,21.8,23,0.9,5.9,56,,0.19,,223,,0.37,
Vector_CWB_FB_46694A,"2023-05-01 22:00:00",,2.6,231,1017.6,22,23,1,6,78,,0.09,,199,,0.17,
Vector_CWB_FB_46694A,"2023-05-01 23:00:00",,5.9,125,1017.3,22.1,22.9,1,5.7,90,,0.04,,298,,0.08,
